Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Total_Test_Results,Case_Fatality_Ratio
Texas,US,2020-08-07 04:35:29,31.0545,-97.5635,488041,8929,323804.0,151547.0,48.0,1668.9267003130549,3944480.0,,1.770747230947264,84000048.0,USA,13603.58735090684,,,
Texas,US,2020-09-23 04:30:25,31.0545,-97.5635,746471,15521,613896.0,112538.0,48.0,2557.8219196029945,5667732.0,,2.0533584660418547,84000048.0,USA,19546.67975082392,,,
Texas,US,2020-09-24 04:30:25,31.0545,-97.5635,747945,15644,618054.0,109487.0,48.0,2562.1328767351474,5740674.0,,2.0691521079857265,84000048.0,USA,19798.239618930704,,,
Texas,US,2020-09-29 04:30:25,31.0545,-97.5635,767990,16092,657407.0,87984.0,48.0,2625.1935576642763,6171755.0,,2.0765950514846336,84000048.0,USA,21284.936988119105,,,
Texas,US,2020-09-30 04:30:25,31.0545,-97.5635,774438,16179,661038.0,90324.0,48.0,2646.1137704351872,6200826.0,,2.0725591191558577,84000048.0,USA,21385.19605595016,,,
Texas,US,2020-09-17 04:30:32,31.0545,-97.5635,701187,15033,590837.0,91232.0,48.0,2403.1240851071225,5299620.0,,2.1150763410815334,84000048.0,USA,18277.14770935913,,,
Texas,US,2020-09-18 05:10:31,31.0545,-97.5635,705749,15121,594817.0,91707.0,48.0,2418.791827708218,5345176.0,,2.1139231482141585,84000048.0,USA,18434.25967984901,,,
Texas,US,2020-09-02 04:30:23,31.0545,-97.5635,641231,13240,514861.0,109941.0,48.0,2199.3503146188245,5033554.0,,2.0258075239799225,84000048.0,USA,17359.54841310047,,,
Texas,US,2020-09-01 04:30:22,31.0545,-97.5635,636201,13105,507499.0,112461.0,48.0,2182.168563872917,4961553.0,,2.019632107393412,84000048.0,USA,17111.23383352277,,,
Texas,US,2020-09-07 04:30:33,31.0545,-97.5635,661911,13950,543412.0,101136.0,48.0,2269.98448503772,5282579.0,,2.074439153937545,84000048.0,USA,18218.37729296792,,,
Texas,US,2020-09-08 04:30:25,31.0545,-97.5635,662778,13997,543412.0,101932.0,48.0,2272.8779994648207,5320999.0,,2.078322896451056,84000048.0,USA,18350.878871381767,,,
Texas,US,2020-09-26 04:30:24,31.0545,-97.5635,756802,15884,646143.0,89315.0,48.0,2590.257561065311,5913449.0,,2.078373729143033,84000048.0,USA,20394.100113736844,,,
Texas,US,2020-09-25 04:30:27,31.0545,-97.5635,752811,15782,642169.0,89687.0,48.0,2577.490230422728,5860833.0,,2.075288412906126,84000048.0,USA,20212.639857364567,,,
Texas,US,2020-09-12 04:30:24,31.0545,-97.5635,679032,14522,568067.0,92740.0,48.0,2328.034109396435,5454041.0,,2.1075975432348595,84000048.0,USA,18809.70955840245,,,
Texas,US,2020-09-11 04:30:23,31.0545,-97.5635,673462,14245,564114.0,91548.0,48.0,2309.2659264258946,5405257.0,,2.0803713306013214,84000048.0,USA,18641.4649722145,,,
Texas,US,2020-09-03 04:30:31,31.0545,-97.5635,645406,13417,522087.0,106664.0,48.0,2213.60751204628,5068862.0,,2.041582600431562,84000048.0,USA,17481.3174326381,,,
Texas,US,2020-09-04 04:30:31,31.0545,-97.5635,648964,13603,527359.0,104767.0,48.0,2225.909259318591,5107503.0,,2.060047534791191,84000048.0,USA,17614.581188272914,,,
Texas,US,2020-09-09 04:30:32,31.0545,-97.5635,666409,14099,553409.0,95226.0,48.0,2284.5555201443963,5339126.0,,2.08204073807378,84000048.0,USA,18413.39464732939,,,
Texas,US,2020-09-10 04:30:24,31.0545,-97.5635,671279,14229,558894.0,94683.0,48.0,2302.051108569524,5372132.0,,2.0858426966292134,84000048.0,USA,18527.22460821245,,,
